,0,1,2
631,93,109,117
632,95,109,115
633,98,112,118
634,100,112,116
635,99,111,115
636,94,112,119
637,95,113,120
638,92,113,119
639,92,113,119
640,94,113,117
641,92,111,115
642,92,114,117
643,94,116,119
644,97,114,119
645,97,114,119
646,99,113,119
647,98,112,118
648,98,111,120
649,98,111,120
650,99,110,119
651,100,111,120
652,98,112,118
653,97,111,117
654,97,109,115
655,100,112,118
656,101,110,120
657,100,109,119
658,99,113,119
659,100,114,120
660,98,112,116
661,95,109,113
662,96,115,119
663,98,117,121
664,98,115,120
665,97,114,119
666,101,113,119
667,103,115,121
668,103,113,120
669,101,111,118
670,100,112,118
671,102,114,120
672,101,113,119
673,99,111,117
674,97,111,117
675,99,113,119
676,100,114,120
677,97,111,117
678,98,112,118
679,101,115,121
680,102,113,122
681,101,112,121
682,99,115,125
683,98,114,124
684,98,114,124
685,98,114,124
686,98,114,122
687,98,114,122
688,98,114,122
689,97,113,121
690,95,111,119
691,96,112,120
692,98,114,122
693,98,114,122
694,101,114,123
695,100,113,122
696,97,113,121
697,96,112,120
698,98,114,122
699,99,115,123
700,100,116,124
701,98,114,122
702,96,117,123
703,97,118,124
704,97,119,122
705,96,118,121
706,94,116,119
707,94,116,119
708,97,116,120
709,99,118,122
710,107,118,127
711,107,118,127
712,106,118,124
713,104,116,122
714,101,120,124
715,102,121,125
716,102,121,125
717,99,118,122
718,99,118,122
719,102,121,125
720,102,119,124
721,100,117,122
722,103,120,125
723,100,117,122
724,98,116,123
725,99,117,124
726,102,118,126
727,100,116,124
728,104,116,122
729,104,116,122
730,106,118,124
731,106,118,124
732,104,116,122
733,106,118,124
734,107,119,125
735,106,118,124
736,106,117,126
737,102,113,122
738,101,113,119
739,102,114,120
740,104,116,122
741,106,118,124
742,107,119,125
743,108,120,126
744,105,119,125
745,101,115,121
746,103,115,121
747,106,118,124
748,107,119,125
749,107,119,125
750,107,118,127
751,104,115,124
752,104,115,124
753,106,117,126
754,105,119,125
755,105,119,125
756,102,119,122
757,102,119,122
758,108,120,124
759,108,120,124
760,107,119,123
761,108,120,124
762,104,121,124
763,102,119,122
764,100,116,124
765,102,118,126
766,103,119,127
767,103,119,127
768,103,120,125
769,104,121,126
770,104,121,126
771,103,120,125
772,103,120,125
773,103,120,125
774,103,120,125
775,102,119,124
776,102,115,124
777,104,117,126
778,100,116,124
779,100,116,124
780,97,118,124
781,97,118,124
782,99,117,124
783,101,119,126
784,101,120,124
785,101,120,124
786,100,117,122
787,102,119,124
788,104,116,122
789,106,118,124
790,106,118,122
791,106,118,122
792,108,120,124
793,107,119,123
794,104,116,122
795,107,119,125
796,108,118,125
797,105,115,122
798,108,118,125
799,109,119,126
800,107,116,126
801,107,116,126
802,104,117,126
803,105,118,127
804,103,121,128
805,101,119,126
806,98,116,123
807,99,117,124
808,102,118,126
809,100,116,124
810,101,114,123
811,101,114,123
812,101,114,123
813,101,114,123
814,99,115,123
815,97,113,121
816,97,114,119
817,99,116,121
818,101,115,121
819,101,115,121
820,107,117,124
821,107,117,124
822,102,115,124
823,104,117,126
824,102,119,124
825,102,119,124
826,102,119,124
827,103,120,125
828,107,117,124
829,105,115,122
